Asset_Num;Endpoint Type;Host ID;Host Name;ID;OS Version;Sensor ID;Sensor Tenant;Sensor Version;osFamily
1;ENDPOINT_REDCLOAK;47bcd278a1e4687a64f087932470427d;sondadc;1bddea27-0958-4a04-b0f7-73c84071fa82;VERSION_SERVER_2012_R2;47bcd278a1e4687a64f087932470427d;47bcd278;2.8.5.0;WINDOWS
2;ENDPOINT_REDCLOAK;47bcd27882af5a61e2854fbce9ba2a7f;cms;9c309e30-0ea7-43b0-8872-123d3b25527b;VERSION_SERVER_2008;47bcd27882af5a61e2854fbce9ba2a7f;47bcd278;2.8.5.0;WINDOWS
3;ENDPOINT_REDCLOAK;47bcd2787f1d3856d9608a5596002030;PRTG;0a06615d-e9c5-4753-955b-174dc3731346;VERSION_SERVER_2012_R2;47bcd2787f1d3856d9608a5596002030;47bcd278;2.8.5.0;WINDOWS
4;ENDPOINT_REDCLOAK;47bcd278ceb4449d21829ba1f200b90a;APPSERVER;3df0cd4d-e38e-4c9f-b3ff-e1c218fc9f7f;VERSION_SERVER_2012_R2;47bcd278ceb4449d21829ba1f200b90a;47bcd278;2.8.5.0;WINDOWS
5;ENDPOINT_REDCLOAK;47bcd2787ad045c62dad52922a932114;DCMAO02;a170c8f4-def7-4d76-94c6-d137ae02709a;VERSION_SERVER_2012_R2;47bcd2787ad045c62dad52922a932114;47bcd278;2.8.5.0;WINDOWS
6;ENDPOINT_REDCLOAK;47bcd278dafa9ac6717ff9899263fdfa;SFTP;305c3174-5bd9-4314-8aa6-8be1b50c3daa;VERSION_SERVER_2012_R2;47bcd278dafa9ac6717ff9899263fdfa;47bcd278;2.8.5.0;WINDOWS
7;ENDPOINT_REDCLOAK;47bcd2781b4804efc6c70388bf5f98da;SRVIMPMAO;1ba4eb48-a626-4f09-a543-c32653be6777;VERSION_SERVER_2012_R2;47bcd2781b4804efc6c70388bf5f98da;47bcd278;2.8.5.0;WINDOWS
8;ENDPOINT_REDCLOAK;47bcd278d84873a33bc4ec49e7c954d6;srvdw;d3a58477-0e70-462a-9832-4273834000f7;VERSION_SERVER_2012_R2;47bcd278d84873a33bc4ec49e7c954d6;47bcd278;2.8.5.0;WINDOWS
9;ENDPOINT_REDCLOAK;47bcd2785cda213aee14921db692b848;totvs;f210de26-339b-4a64-be22-f38b73691255;VERSION_SERVER_2012_R2;47bcd2785cda213aee14921db692b848;47bcd278;2.8.5.0;WINDOWS
10;ENDPOINT_REDCLOAK;47bcd2788b964b6903829a673f5916fa;ctaprovacao-hml;74c5a131-7a47-46f4-92dc-ea6f7674a255;VERSION_SERVER_2012_R2;47bcd2788b964b6903829a673f5916fa;47bcd278;2.8.5.0;WINDOWS
11;ENDPOINT_REDCLOAK;47bcd278933937f5fbfceec10364926b;microsiga;d3354ea9-9391-4a21-be79-e9d20fe432ba;VERSION_SERVER_2012_R2;47bcd278933937f5fbfceec10364926b;47bcd278;2.8.5.0;WINDOWS
12;ENDPOINT_REDCLOAK;47bcd27830cb6a937cac88931f30354b;STS02;ff1f2aa9-718a-4b5c-a48e-0665bc0afce0;VERSION_SERVER_2008;47bcd27830cb6a937cac88931f30354b;47bcd278;2.8.5.0;WINDOWS
13;ENDPOINT_REDCLOAK;47bcd2782c7eb76524a8ab79082db402;dcmao01;9326c829-da81-4633-b45e-3524a5057283;VERSION_SERVER_2012_R2;47bcd2782c7eb76524a8ab79082db402;47bcd278;2.8.5.0;WINDOWS
14;ENDPOINT_REDCLOAK;47bcd278d4531b02540e94eefc7c9900;dcflc;fe6e526e-b523-48db-b891-aea50d353d59;VERSION_SERVER_2012_R2;47bcd278d4531b02540e94eefc7c9900;47bcd278;2.8.5.0;WINDOWS
15;ENDPOINT_REDCLOAK;47bcd2785ff4d8bc457bb397a8f4c04e;ADFS;b8d6eff1-8270-42b4-a050-6d2cb25ded0b;VERSION_SERVER_2012_R2;47bcd2785ff4d8bc457bb397a8f4c04e;47bcd278;2.8.5.0;WINDOWS
16;ENDPOINT_REDCLOAK;47bcd2786c0fa3acf711d9d160840a23;storagecriacao;f054cb24-149a-439d-b524-06086c9bd389;VERSION_SERVER_2012_R2;47bcd2786c0fa3acf711d9d160840a23;47bcd278;2.8.5.0;WINDOWS
17;ENDPOINT_REDCLOAK;47bcd2789e502500e582cd101cd1e9a7;ctaprovacao-prd;f2248576-dffa-4504-8f84-2e5730ced32c;VERSION_SERVER_2012_R2;47bcd2789e502500e582cd101cd1e9a7;47bcd278;2.8.5.0;WINDOWS
18;ENDPOINT_REDCLOAK;47bcd2781be787aeb9ba23583b00e2f3;serverbkp;260fc8ba-0b64-47ac-b03c-3e27a8c2c489;VERSION_SERVER_2012_R2;47bcd2781be787aeb9ba23583b00e2f3;47bcd278;2.8.5.0;WINDOWS
19;ENDPOINT_REDCLOAK;47bcd278210654ed1773e0b9737880eb;server-iis;935c27d8-6b51-4db8-a68f-b6e54052ad92;VERSION_SERVER_2012_R2;47bcd278210654ed1773e0b9737880eb;47bcd278;2.8.5.0;WINDOWS
20;ENDPOINT_REDCLOAK;47bcd27826f92ff66b9ad61539d9657f;ksc;5f3e83f0-8c25-48d9-980b-741d8b757fc8;VERSION_SERVER_2012_R2;47bcd27826f92ff66b9ad61539d9657f;47bcd278;2.8.5.0;WINDOWS
21;ENDPOINT_REDCLOAK;47bcd27890719e04dc6c13dd0ac3eb45;ServerMormaii;dae06d7a-b669-4b4c-b543-6a3f72af2a3e;VERSION_SERVER_2012_R2;47bcd27890719e04dc6c13dd0ac3eb45;47bcd278;2.8.5.0;WINDOWS
