Asset_Num;Endpoint Type;Host ID;Host Name;ID;OS Version;Sensor ID;Sensor Tenant;Sensor Version;osFamily;osRelease;systemType;status;osDistributor
1;ENDPOINT_REDCLOAK;d6acc62d3fe0c495854c40bd575cd5a2;04-POENF-013732;9785c957-a047-448e-a48e-6c0340c924a4;VERSION_WIN7;d6acc62d3fe0c495854c40bd575cd5a2;d6acc62d;2.8.5.0;WINDOWS;1.0;NT_WORKSTATION;Active;Microsoft
2;ENDPOINT_REDCLOAK;d6acc62db728a9ba9340010e40c1f995;SL-TOMOG-012665;fbf8bb32-5661-4924-803a-a5d1e85971a0;VERSION_WIN7;d6acc62db728a9ba9340010e40c1f995;d6acc62d;2.8.5.0;WINDOWS;1.0;NT_WORKSTATION;Active;Microsoft
3;ENDPOINT_REDCLOAK;d6acc62d295edc40d2dc80526306f81d;06-UNCIC-000215;9783a7a7-d4bf-4e99-8a5e-760a13da68ea;VERSION_WIN7;d6acc62d295edc40d2dc80526306f81d;d6acc62d;2.8.5.0;WINDOWS;1.0;NT_WORKSTATION;Active;Microsoft
4;ENDPOINT_REDCLOAK;d6acc62d893c17d0eeb2c430646dedf7;03-MEGRA-013807;aa479ab1-a1db-4aa3-b58e-67f32178064e;VERSION_WIN7;d6acc62d893c17d0eeb2c430646dedf7;d6acc62d;2.8.5.0;WINDOWS;1.0;NT_WORKSTATION;Active;Microsoft
5;ENDPOINT_REDCLOAK;d6acc62deec15b3289e2a5b700ffa475;07-TEROC-014497;317d18c7-7ea7-4689-ab5f-045a69567b1a;VERSION_WIN7;d6acc62deec15b3289e2a5b700ffa475;d6acc62d;2.8.5.0;WINDOWS;1.0;NT_WORKSTATION;Active;Microsoft
6;ENDPOINT_REDCLOAK;d6acc62d66e0880e8792fa5d8c1d8650;04-POPIN-012548;59c7bdb5-afbf-4aa1-a1ee-32abdab0f930;VERSION_WIN7;d6acc62d66e0880e8792fa5d8c1d8650;d6acc62d;2.8.5.0;WINDOWS;1.0;NT_WORKSTATION;Active;Microsoft
7;ENDPOINT_REDCLOAK;d6acc62dc0ce78a97231ce8d728b2172;08-SLMED-016506;24f58c8b-66bf-48f3-ae36-9b66dad1ef04;VERSION_WIN7;d6acc62dc0ce78a97231ce8d728b2172;d6acc62d;2.8.5.0;WINDOWS;1.0;NT_WORKSTATION;Active;Microsoft
8;ENDPOINT_REDCLOAK;d6acc62d16a5a209bab94899f497b12b;02-CDHOS-013746;74769030-ff3f-4f0e-8649-cd2610abc71a;VERSION_WIN7;d6acc62d16a5a209bab94899f497b12b;d6acc62d;2.8.5.0;WINDOWS;1.0;NT_WORKSTATION;Active;Microsoft
9;ENDPOINT_REDCLOAK;d6acc62d6c7b49ee03a4a8a3b7e487c0;08-SLMED-012514;9036c180-4f83-46bc-9aec-90c25aee33c0;VERSION_WIN7;d6acc62d6c7b49ee03a4a8a3b7e487c0;d6acc62d;2.8.5.0;WINDOWS;1.0;NT_WORKSTATION;Active;Microsoft
10;ENDPOINT_REDCLOAK;d6acc62d9f55860df81b0ce3ec8a56c4;TE-HENUC-015987;3db8b6a8-3892-4f90-a968-3817554e2a7f;VERSION_WIN7;d6acc62d9f55860df81b0ce3ec8a56c4;d6acc62d;2.8.5.0;WINDOWS;1.0;NT_WORKSTATION;Active;Microsoft
11;ENDPOINT_REDCLOAK;d6acc62ddd89a7880694867bc3835fb4;07-TRANS-014460;f41270d9-8e90-49a7-8920-09cedc2cd5c5;VERSION_WIN7;d6acc62ddd89a7880694867bc3835fb4;d6acc62d;2.8.5.0;WINDOWS;1.0;NT_WORKSTATION;Active;Microsoft
12;ENDPOINT_REDCLOAK;d6acc62d7572521cb37c3f0475cb5a9d;10-UTCIC-013712;61cc2e22-63b5-4477-b750-daf387f08961;VERSION_WIN7;d6acc62d7572521cb37c3f0475cb5a9d;d6acc62d;2.8.5.0;WINDOWS;1.0;NT_WORKSTATION;Active;Microsoft
13;ENDPOINT_REDCLOAK;d6acc62d8f93ed9bc2ee5af46aec9a76;CA-BRIGA-012654;54b6fb09-83cc-4d8b-8630-3a6aa1097a8a;VERSION_WIN7;d6acc62d8f93ed9bc2ee5af46aec9a76;d6acc62d;2.8.5.0;WINDOWS;1.0;NT_WORKSTATION;Active;Microsoft
14;ENDPOINT_REDCLOAK;d6acc62da25103e1e763f622cd4b4ae2;10-POPAD-013867;fb04b267-5b37-46cc-8e04-4331193030e6;VERSION_WIN7;d6acc62da25103e1e763f622cd4b4ae2;d6acc62d;2.8.5.0;WINDOWS;1.0;NT_WORKSTATION;Active;Microsoft
15;ENDPOINT_REDCLOAK;d6acc62d43100106883f1092c33d9fe5;03-ALMOX-014544;c3fd57e3-e5e8-47b9-855d-f85bbbb104cc;VERSION_WIN7;d6acc62d43100106883f1092c33d9fe5;d6acc62d;2.8.5.0;WINDOWS;1.0;NT_WORKSTATION;Active;Microsoft
16;ENDPOINT_REDCLOAK;d6acc62d80f1ff42922c8dd3d7b54ed0;02-CDHOS-013747;937c0fe6-58b9-4813-9093-ea95edfd1355;VERSION_WIN7;d6acc62d80f1ff42922c8dd3d7b54ed0;d6acc62d;2.8.5.0;WINDOWS;1.0;NT_WORKSTATION;Active;Microsoft
17;ENDPOINT_REDCLOAK;d6acc62de4233df26c60ce3dd39ac704;08-SUADM-013702;89a8e790-50c3-4f12-a01a-b73920591c20;VERSION_WIN7;d6acc62de4233df26c60ce3dd39ac704;d6acc62d;2.8.5.0;WINDOWS;1.0;NT_WORKSTATION;Active;Microsoft
18;ENDPOINT_REDCLOAK;d6acc62d91f569c4fed5ca0cf0849019;07-TRANS-019687;77bcdf03-d06a-405f-bdf4-06006aabda25;VERSION_WIN7;d6acc62d91f569c4fed5ca0cf0849019;d6acc62d;2.8.5.0;WINDOWS;1.0;NT_WORKSTATION;Active;Microsoft
19;ENDPOINT_REDCLOAK;d6acc62d1382704887f37a7db8bfc8ce;TE-MENUC-013801;35f10a85-b7c9-4df2-807f-b6045b160318;VERSION_WIN7;d6acc62d1382704887f37a7db8bfc8ce;d6acc62d;2.8.5.0;WINDOWS;1.0;NT_WORKSTATION;Active;Microsoft
20;ENDPOINT_REDCLOAK;d6acc62da17b6fd2ee5108f5fee5392f;07-COCIH-013878;511942b8-2c8f-488f-8b79-04b074ea18e8;VERSION_WIN7;d6acc62da17b6fd2ee5108f5fee5392f;d6acc62d;2.8.5.0;WINDOWS;1.0;NT_WORKSTATION;Active;Microsoft
21;ENDPOINT_REDCLOAK;d6acc62dbfbc8a9d907debf6cfa5eac8;09-SLMED-013804;5606fb09-1c25-4012-abcb-0407573c0569;VERSION_WIN7;d6acc62dbfbc8a9d907debf6cfa5eac8;d6acc62d;2.8.5.0;WINDOWS;1.0;NT_WORKSTATION;Active;Microsoft
22;ENDPOINT_REDCLOAK;d6acc62dde053edf37aee6521acc0333;04SECPE-013876;c13f9205-ec2c-4bdb-8e81-c1f3f5768905;VERSION_WIN7;d6acc62dde053edf37aee6521acc0333;d6acc62d;2.8.5.0;WINDOWS;1.0;NT_WORKSTATION;Active;Microsoft
23;ENDPOINT_REDCLOAK;d6acc62d08b2931ab4deed81d07228f9;10-UNCOR-013726;070bebcb-462f-436e-8c05-1f0d8257f0b6;VERSION_WIN7;d6acc62d08b2931ab4deed81d07228f9;d6acc62d;2.8.5.0;WINDOWS;1.0;NT_WORKSTATION;Active;Microsoft
24;ENDPOINT_REDCLOAK;d6acc62dde8150084dbb283c4987641d;02-CDPLA-013768;2ce001dd-a282-4cf5-a914-412282f7a8f9;VERSION_WIN7;d6acc62dde8150084dbb283c4987641d;d6acc62d;2.8.5.0;WINDOWS;1.0;NT_WORKSTATION;Active;Microsoft
25;ENDPOINT_REDCLOAK;d6acc62deb8610b8d1134b54a440e916;08-SLMED-012658;da42ccd6-8a96-42f5-8e92-026689561fad;VERSION_WIN7;d6acc62deb8610b8d1134b54a440e916;d6acc62d;2.8.5.0;WINDOWS;1.0;NT_WORKSTATION;Active;Microsoft
26;ENDPOINT_REDCLOAK;d6acc62d49c64f5f5bbbcebd46204233;05-CTCEL-014547;cba3004b-d0e6-4d2d-9df3-7ad0acb5823e;VERSION_WIN7;d6acc62d49c64f5f5bbbcebd46204233;d6acc62d;2.8.5.0;WINDOWS;1.0;NT_WORKSTATION;Active;Microsoft
27;ENDPOINT_REDCLOAK;d6acc62da9d7147a586006ffe7ec9fc3;08-SLMED-012518;2f571f4e-bd91-47f9-92f7-c6c77a08f901;VERSION_WIN7;d6acc62da9d7147a586006ffe7ec9fc3;d6acc62d;2.8.5.0;WINDOWS;1.0;NT_WORKSTATION;Active;Microsoft
28;ENDPOINT_REDCLOAK;d6acc62d8907c5e3dadf11457e2dca2f;10-UNCOR-013725;8d9ebd90-88db-4e29-baf6-f13f6ff46704;VERSION_WIN7;d6acc62d8907c5e3dadf11457e2dca2f;d6acc62d;2.8.5.0;WINDOWS;1.0;NT_WORKSTATION;Active;Microsoft
29;ENDPOINT_REDCLOAK;d6acc62df66becfce8e46fb0dfb8528a;TE-RECAR-000212;ca078e76-485e-41f0-a951-4ba06e7edd2a;VERSION_WIN7;d6acc62df66becfce8e46fb0dfb8528a;d6acc62d;2.8.5.0;WINDOWS;1.0;NT_WORKSTATION;Active;Microsoft
30;ENDPOINT_REDCLOAK;d6acc62d025e9a75961f20606faab5a6;06-SLMED-013678;f3f703bf-393e-4ee2-ab70-7da6d905955c;VERSION_WIN7;d6acc62d025e9a75961f20606faab5a6;d6acc62d;2.8.5.0;WINDOWS;1.0;NT_WORKSTATION;Active;Microsoft
31;ENDPOINT_REDCLOAK;d6acc62d4a233ff09c349f6feb520c36;02-DIVEN-012511;c54237cb-fa16-4a45-a42d-49fe1a5c4cf9;VERSION_WIN7;d6acc62d4a233ff09c349f6feb520c36;d6acc62d;2.8.5.0;WINDOWS;1.0;NT_WORKSTATION;Active;Microsoft
32;ENDPOINT_REDCLOAK;d6acc62d649aae1207e3f852b76e3aac;04-AUDIT-013875;60f09da0-54c1-4745-9433-bae4f575918f;VERSION_WIN7;d6acc62d649aae1207e3f852b76e3aac;d6acc62d;2.8.5.0;WINDOWS;1.0;NT_WORKSTATION;Active;Microsoft
33;ENDPOINT_REDCLOAK;d6acc62d9961ae533fd1ced8c9e79eb7;08-FARMA-000211;593e49d6-b9b4-49a5-9d55-a5a28d6c84cd;VERSION_WIN7;d6acc62d9961ae533fd1ced8c9e79eb7;d6acc62d;2.8.5.0;WINDOWS;1.0;NT_WORKSTATION;Active;Microsoft
34;ENDPOINT_TAEGIS;3ff85370-1016-543f-ab9b-3d4d3d637b93;TE-AMADU-020787;3ff85370-1016-543f-ab9b-3d4d3d637b93;10.0.22631;3ff85370-1016-543f-ab9b-3d4d3d637b93;148351;2.2.22;WINDOWS;0.0;NT_WORKSTATION;Active;Microsoft
35;ENDPOINT_REDCLOAK;d6acc62d97f34a381470277c1ecf50d2;SL-HEMOD-012562;616a231e-8699-4cc6-9a53-d552253004b2;VERSION_WIN7;d6acc62d97f34a381470277c1ecf50d2;d6acc62d;2.8.5.0;WINDOWS;1.0;NT_WORKSTATION;Active;Microsoft
36;ENDPOINT_REDCLOAK;d6acc62defd1580c86bcc1c37cbd49dc;11-CECIR-013772;5a853355-6eb5-466e-8f2d-b3f9d1276a91;VERSION_WIN7;d6acc62defd1580c86bcc1c37cbd49dc;d6acc62d;2.8.5.0;WINDOWS;1.0;NT_WORKSTATION;Active;Microsoft
37;ENDPOINT_REDCLOAK;d6acc62d608bc3066b29c33112ad57dd;04-SLMED-013759;fed22059-abcf-4792-b431-2935b311198a;VERSION_WIN7;d6acc62d608bc3066b29c33112ad57dd;d6acc62d;2.8.5.0;WINDOWS;1.0;NT_WORKSTATION;Active;Microsoft
38;ENDPOINT_REDCLOAK;d6acc62dcd0f001ba1de4f915ff5cf07;SL-TOMOG-012499;e8d92073-9d52-402f-9aee-ced5b078bc26;VERSION_WIN7;d6acc62dcd0f001ba1de4f915ff5cf07;d6acc62d;2.8.5.0;WINDOWS;1.0;NT_WORKSTATION;Active;Microsoft
39;ENDPOINT_REDCLOAK;d6acc62d04fffd478efbec0167aa89bc;TE-AMADU-013754;d26bd2c7-ebe9-47a4-a7fc-89f8df2d2b91;VERSION_WIN7;d6acc62d04fffd478efbec0167aa89bc;d6acc62d;2.8.5.0;WINDOWS;1.0;NT_WORKSTATION;Active;Microsoft
40;ENDPOINT_REDCLOAK;d6acc62db4d1c617a25a0385ac22bd47;10-UNCOR-014473;775b8a9f-ce52-4f11-b5f8-f4cb3a95080e;VERSION_WIN7;d6acc62db4d1c617a25a0385ac22bd47;d6acc62d;2.8.5.0;WINDOWS;1.0;NT_WORKSTATION;Active;Microsoft
41;ENDPOINT_REDCLOAK;d6acc62deb463cfa32e9ff69be7cf00e;04-SECPE-016517;b9d1bcf6-353a-48ad-aba6-0080106ecda5;VERSION_WIN7;d6acc62deb463cfa32e9ff69be7cf00e;d6acc62d;2.8.5.0;WINDOWS;1.0;NT_WORKSTATION;Active;Microsoft
42;ENDPOINT_REDCLOAK;d6acc62dc82bde5b5fa933213b3f9548;02-NQSEG-014545;aea3a638-16e8-4cce-bedc-7aa5c0ea8a3d;VERSION_WIN7;d6acc62dc82bde5b5fa933213b3f9548;d6acc62d;2.8.5.0;WINDOWS;1.0;NT_WORKSTATION;Active;Microsoft
43;ENDPOINT_REDCLOAK;d6acc62d025c32559b843051c69760c9;12-SESOC-011254;dcb9438a-7e6d-4794-a66a-b58ccd7da7ea;VERSION_WIN7;d6acc62d025c32559b843051c69760c9;d6acc62d;2.8.5.0;WINDOWS;1.0;NT_WORKSTATION;Active;Microsoft
44;ENDPOINT_REDCLOAK;d6acc62d0853a2e8d4a844da8db1e7c8;04-POPIN-012550;407bd8a4-12c0-4aee-b5fb-22aeb14fa5ec;VERSION_WIN7;d6acc62d0853a2e8d4a844da8db1e7c8;d6acc62d;2.8.5.0;WINDOWS;1.0;NT_WORKSTATION;Active;Microsoft
45;ENDPOINT_REDCLOAK;d6acc62d221b93f9ac14885f7e2ac412;04-POPIN-012551;eca78408-779e-43f7-8fe5-d5f424eb70ed;VERSION_WIN7;d6acc62d221b93f9ac14885f7e2ac412;d6acc62d;2.8.5.0;WINDOWS;1.0;NT_WORKSTATION;Active;Microsoft
46;ENDPOINT_REDCLOAK;d6acc62d320a8696bab250ecf01d6103;10-UNCOR-016504;1cdb0f6e-3612-4f09-b417-6144215b03cc;VERSION_WIN7;d6acc62d320a8696bab250ecf01d6103;d6acc62d;2.8.5.0;WINDOWS;1.0;NT_WORKSTATION;Active;Microsoft
47;ENDPOINT_REDCLOAK;d6acc62d5bf102fcf01f7efa0919eec5;03-ALMOX-014459;ce7b13e2-2618-440e-8da4-64defe4efa75;VERSION_WIN7;d6acc62d5bf102fcf01f7efa0919eec5;d6acc62d;2.8.5.0;WINDOWS;1.0;NT_WORKSTATION;Active;Microsoft
48;ENDPOINT_REDCLOAK;d6acc62d7ee87af83bed1eca35cdd03f;03-ALMOX-012491;dcc22bde-db69-47f2-ba99-56623e74d51d;VERSION_WIN7;d6acc62d7ee87af83bed1eca35cdd03f;d6acc62d;2.8.5.0;WINDOWS;1.0;NT_WORKSTATION;Active;Microsoft
49;ENDPOINT_REDCLOAK;d6acc62d7f8a5c1e1d2cc5fef3e56f52;03-ALMOX-014469;6bae7519-fe8f-44ca-a742-152883f4dd47;VERSION_WIN7;d6acc62d7f8a5c1e1d2cc5fef3e56f52;d6acc62d;2.8.5.0;WINDOWS;1.0;NT_WORKSTATION;Active;Microsoft
50;ENDPOINT_REDCLOAK;d6acc62d97edd78772310ccd076b4e52;07-TRANS-013738;33a131d1-4d3c-4727-abd9-943bf36e47d3;VERSION_WIN7;d6acc62d97edd78772310ccd076b4e52;d6acc62d;2.8.5.0;WINDOWS;1.0;NT_WORKSTATION;Active;Microsoft
51;ENDPOINT_REDCLOAK;d6acc62da7d1a1d854911303d32cd631;04-SLMED-013735;6601f77f-a646-47b5-a8c5-bc026de5cdd7;VERSION_WIN7;d6acc62da7d1a1d854911303d32cd631;d6acc62d;2.8.5.0;WINDOWS;1.0;NT_WORKSTATION;Active;Microsoft
