Asset_Num;Endpoint Type;Host ID;Host Name;ID;OS Version;Sensor ID;Sensor Tenant;Sensor Version;osFamily
1;ENDPOINT_REDCLOAK;004b12104f2f7dbac6303a164769694e;WKSGER001;dab24047-8127-4ac2-a2d5-dd0d0a74bf05;VERSION_WIN10;004b12104f2f7dbac6303a164769694e;004b1210;2.8.5.0;WINDOWS
2;ENDPOINT_REDCLOAK;004b1210c49a088f64b4989089765d8c;NTCADDS05;189cdb8a-83aa-4ca3-8954-acbec2d03296;VERSION_SERVER_2019;004b1210c49a088f64b4989089765d8c;004b1210;2.8.5.0;WINDOWS
3;ENDPOINT_MICROSOFT_ATP;3432b108614f8182f912b53e5f410d4fd5636bfe;wksger004;02ea633e-2873-4c78-8798-14114d9431cf;10.0;3432b108614f8182f912b53e5f410d4fd5636bfe;ae05bd5a-1123-4191-8d0f-696daba31d1e;10.8040.22000.653;WINDOWS
4;ENDPOINT_MICROSOFT_ATP;8c48b05c15665e2476626c025ca7d4ceb6044cd5;wkscen003.netcenter.com.br;675525a6-65d4-4276-a39d-bccba77e89ea;10.0;8c48b05c15665e2476626c025ca7d4ceb6044cd5;ae05bd5a-1123-4191-8d0f-696daba31d1e;10.8040.19041.1466;WINDOWS
5;ENDPOINT_MICROSOFT_ATP;89da4e5247567c82e040cdde8a319f956052af23;wksdir028.netcenter.com.br;4aed80ff-8d80-4470-a308-a382bf000e96;10.0;89da4e5247567c82e040cdde8a319f956052af23;ae05bd5a-1123-4191-8d0f-696daba31d1e;10.7740.19041.1202;WINDOWS
6;ENDPOINT_MICROSOFT_ATP;309fcadcef5a2f3b808e66095a475c1792edafbe;desktop-85elnu3;a293adf9-0426-4040-bc54-13873f2d2336;10.0;309fcadcef5a2f3b808e66095a475c1792edafbe;ae05bd5a-1123-4191-8d0f-696daba31d1e;10.8040.19041.1682;WINDOWS
7;ENDPOINT_MICROSOFT_ATP;383e1b9914deae81d27b44c7995e9628862200a2;lca80tbr;3e6239da-7e7c-49c5-86ff-1b14272d3964;10.0;383e1b9914deae81d27b44c7995e9628862200a2;ae05bd5a-1123-4191-8d0f-696daba31d1e;10.8040.19041.1645;WINDOWS
8;ENDPOINT_REDCLOAK;004b1210524e7f17629edc25c7592ab4;NTCRDS05;db19d35f-1523-4f01-a062-ce3368d54b3a;VERSION_SERVER_2019;004b1210524e7f17629edc25c7592ab4;004b1210;2.8.5.0;WINDOWS
9;ENDPOINT_REDCLOAK;004b12100058d7a16c75fa9d7abcf2fd;NTCRDS03;b2844dcd-b6f9-476e-94ca-18fad7b5eb2a;VERSION_SERVER_2012_R2;004b12100058d7a16c75fa9d7abcf2fd;004b1210;2.8.5.0;WINDOWS
10;ENDPOINT_MICROSOFT_ATP;8f7cd2a8fc704b2d0485bc761e88ae503b2712f2;desktop-ojv5g9i;cc5e4bea-d420-445b-b762-2c403d58676c;10.0;8f7cd2a8fc704b2d0485bc761e88ae503b2712f2;ae05bd5a-1123-4191-8d0f-696daba31d1e;10.7740.19041.1288;WINDOWS
11;ENDPOINT_MICROSOFT_ATP;faf7a40a31bdabc533e4eae9e8eaf85f9664430c;wksesp005;5ca688ae-40be-4231-ad54-474e1668fbe9;10.0;faf7a40a31bdabc533e4eae9e8eaf85f9664430c;ae05bd5a-1123-4191-8d0f-696daba31d1e;10.8040.19041.1586;WINDOWS
12;ENDPOINT_MICROSOFT_ATP;e4a0587210fc30982d40a90434b5b1ecc3eb9ce0;wkscen002.netcenter.com.br;f833f122-29b3-40b1-b70e-c1f771a74752;10.0;e4a0587210fc30982d40a90434b5b1ecc3eb9ce0;ae05bd5a-1123-4191-8d0f-696daba31d1e;10.8040.19041.1682;WINDOWS
13;ENDPOINT_MICROSOFT_ATP;379198085e83fd3906f3b9b8d48de0121f39452f;ntcsoc01;e7e56b98-61bb-4a62-a07f-188f21413547;10.0;379198085e83fd3906f3b9b8d48de0121f39452f;ae05bd5a-1123-4191-8d0f-696daba31d1e;10.3720.16299.2015;WINDOWS
14;ENDPOINT_MICROSOFT_ATP;baba483faa26d1e4187f9d400e9989c98ce66aa5;desktop-7viqih0;a66cdf46-2622-487e-a706-81750957e5d5;10.0;baba483faa26d1e4187f9d400e9989c98ce66aa5;ae05bd5a-1123-4191-8d0f-696daba31d1e;10.8040.19041.1806;WINDOWS
