Asset_Num;Endpoint Type;Host ID;Host Name;ID;OS Version;Sensor ID;Sensor Tenant;Sensor Version;osFamily;osRelease;systemType;status;osDistributor
1;ENDPOINT_REDCLOAK;47bcd27890719e04dc6c13dd0ac3eb45;ServerMormaii;dae06d7a-b669-4b4c-b543-6a3f72af2a3e;VERSION_SERVER_2019;47bcd27890719e04dc6c13dd0ac3eb45;47bcd278;2.8.5.0;WINDOWS;0.0;NT_SERVER;Active;Microsoft
2;ENDPOINT_REDCLOAK;47bcd278210654ed1773e0b9737880eb;server-iis;935c27d8-6b51-4db8-a68f-b6e54052ad92;VERSION_SERVER_2012_R2;47bcd278210654ed1773e0b9737880eb;47bcd278;2.8.5.0;WINDOWS;0.0;NT_SERVER;Active;Microsoft
3;ENDPOINT_REDCLOAK;47bcd278960e39bd14d77f3ef4555719;SRVDW-HML;d5424da5-b329-4389-aea8-48169cafb188;VERSION_SERVER_2019;47bcd278960e39bd14d77f3ef4555719;47bcd278;2.8.5.0;WINDOWS;0.0;NT_SERVER;Active;Microsoft
4;ENDPOINT_REDCLOAK;47bcd278fe126d800a589c9be7e246a3;qlik;5873f83e-074c-44b7-92cb-5c14d9467595;VERSION_SERVER_2012;47bcd278fe126d800a589c9be7e246a3;47bcd278;2.8.5.0;WINDOWS;0.0;NT_SERVER;Active;Microsoft
5;ENDPOINT_REDCLOAK;47bcd278a1e4687a64f087932470427d;sondadc;1bddea27-0958-4a04-b0f7-73c84071fa82;VERSION_SERVER_2019;47bcd278a1e4687a64f087932470427d;47bcd278;2.8.5.0;WINDOWS;0.0;NT_SERVER;Active;Microsoft
6;ENDPOINT_REDCLOAK;47bcd2786c0fa3acf711d9d160840a23;storagecriacao;f054cb24-149a-439d-b524-06086c9bd389;VERSION_SERVER_2012_R2;47bcd2786c0fa3acf711d9d160840a23;47bcd278;2.8.5.0;WINDOWS;0.0;NT_SERVER;Active;Microsoft
7;ENDPOINT_REDCLOAK;47bcd2781be787aeb9ba23585fab7a0e;OLD-serverbkp;a9660b56-842e-46fe-8067-dcc0a4fdc6db;VERSION_SERVER_2012_R2;47bcd2781be787aeb9ba23585fab7a0e;47bcd278;2.8.5.0;WINDOWS;0.0;NT_SERVER;Healthy;Microsoft
8;ENDPOINT_TAEGIS;8e5878e9-b879-5fa4-8a2f-7f3b18d67f97;PATRICIACASTRO;8e5878e9-b879-5fa4-8a2f-7f3b18d67f97;10.0.26100;8e5878e9-b879-5fa4-8a2f-7f3b18d67f97;142779;2.2.22;WINDOWS;0.0;NT_WORKSTATION;Healthy;Microsoft
9;ENDPOINT_REDCLOAK;47bcd27883933c8febaa59a15935e78a;LUCIANADASILVA;ba6d33e4-65a9-4bcc-b621-c9a3a71b89f9;VERSION_WIN10;47bcd27883933c8febaa59a15935e78a;47bcd278;2.8.5.0;WINDOWS;0.0;NT_WORKSTATION;Healthy;Microsoft
10;ENDPOINT_REDCLOAK;47bcd278427c90eee437d405de4676e0;DIEGOJUNIOR;6fe8662b-bcb6-480b-990b-31092a8d53b4;VERSION_WIN10;47bcd278427c90eee437d405de4676e0;47bcd278;2.8.5.0;WINDOWS;0.0;NT_WORKSTATION;Healthy;Microsoft
