Investigation_Num;id;archivedAt;createdAt;createdById;description;priority;status;type;updatedAt;serviceDeskId;shortId
1;35976a48-792b-4446-b6be-06dcb4a2f81a;;2025-02-26T06:10:05.476893Z;yWewZxI9EKTQ0IEaq7iHPPIcZZva5w9n@clients;2025-02-26 - github.com was identified as malicious on 2 watchlists;2;CLOSED_FALSE_POSITIVE_ALERT;SECURITY_INVESTIGATION;2025-02-28T13:41:56.242928Z;;INV00086
2;80a100af-07ff-434a-bd0c-d45f5091626b;;2025-02-25T18:02:15.034073Z;yWewZxI9EKTQ0IEaq7iHPPIcZZva5w9n@clients;2025-02-25 - github.com was identified as malicious on 2 watchlists;2;CLOSED_FALSE_POSITIVE_ALERT;SECURITY_INVESTIGATION;2025-02-28T13:41:52.841328Z;;INV00085
3;ad133b56-df6a-44b1-9645-74c046b1eb66;;2025-02-25T16:13:46.246441Z;yWewZxI9EKTQ0IEaq7iHPPIcZZva5w9n@clients;2025-02-25 - 104.21.80.1 was identified as a malicious IP on CTU Botnet IP Indicators;2;CLOSED_FALSE_POSITIVE_ALERT;SECURITY_INVESTIGATION;2025-02-25T17:39:54.353701Z;;INV00084
4;01ab0349-c347-40bc-bca2-5e44739ebea5;;2025-02-25T16:07:34.748292Z;yWewZxI9EKTQ0IEaq7iHPPIcZZva5w9n@clients;2025-02-25 - 104.21.96.1 was identified as a malicious IP on CTU Botnet IP Indicators;2;CLOSED_FALSE_POSITIVE_ALERT;SECURITY_INVESTIGATION;2025-02-25T17:41:01.483497Z;;INV00083
5;9f077865-3683-4e47-9bcb-d72e7dd60601;;2025-02-25T15:07:40.346828Z;yWewZxI9EKTQ0IEaq7iHPPIcZZva5w9n@clients;2025-02-25 - 104.21.80.1 was identified as a malicious IP on CTU Botnet IP Indicators;2;CLOSED_FALSE_POSITIVE_ALERT;SECURITY_INVESTIGATION;2025-02-25T17:40:27.012806Z;;INV00082
6;fb830339-2277-45e4-a60f-9cb839a01ad7;;2025-02-25T14:52:57.43331Z;yWewZxI9EKTQ0IEaq7iHPPIcZZva5w9n@clients;2025-02-25 - 104.21.96.1 was identified as a malicious IP on CTU Botnet IP Indicators;2;CLOSED_FALSE_POSITIVE_ALERT;SECURITY_INVESTIGATION;2025-02-25T17:34:32.878447Z;;INV00081
7;e1cb2b40-2982-4772-8a8d-e18054603781;;2025-02-25T14:49:42.143539Z;yWewZxI9EKTQ0IEaq7iHPPIcZZva5w9n@clients;2025-02-25 - 104.21.48.1 was identified as a malicious IP on CTU Botnet IP Indicators;2;CLOSED_FALSE_POSITIVE_ALERT;SECURITY_INVESTIGATION;2025-02-25T17:32:13.562041Z;;INV00080
8;8985d157-c7a6-4f59-abc4-42529d98ec19;;2025-01-29T18:50:36.617878Z;yWewZxI9EKTQ0IEaq7iHPPIcZZva5w9n@clients;2025-01-29 - Atypical travel;2;CLOSED_INFORMATIONAL;SECURITY_INVESTIGATION;2025-02-11T16:21:34.032035Z;;INV00079
9;c4037c53-0c3f-42c7-828e-970dc1fd52c4;;2025-01-29T17:15:16.176503Z;yWewZxI9EKTQ0IEaq7iHPPIcZZva5w9n@clients;2025-01-29 - Atypical travel;2;CLOSED_INFORMATIONAL;SECURITY_INVESTIGATION;2025-02-11T16:21:52.100934Z;1762122 ;INV00078
10;57dc4e81-f618-45fd-bb63-a26ae834218a;;2025-01-13T18:01:11.482784Z;yWewZxI9EKTQ0IEaq7iHPPIcZZva5w9n@clients;2025-01-13 - Vulnerability Scanning (Internal);2;CLOSED_THREAT_MITIGATED;SECURITY_INVESTIGATION;2025-01-27T15:57:22.902013Z;;INV00077
